timestamp,node_id,node_name,pod_name,usage_cpu,usage_memory
2025-02-24T15:18:43.799451,4ec354cc-e2c3-44fd-90f8-07a527ef9d90,clever-tarek-w3,paymentservice-74d847cf7b-4klmt,568102,27984
2025-02-24T15:18:43.799451,4ec354cc-e2c3-44fd-90f8-07a527ef9d90,clever-tarek-w3,frontend-54456858b5-5c4wb,231400,13040
2025-02-24T15:18:43.799451,4ec354cc-e2c3-44fd-90f8-07a527ef9d90,clever-tarek-w3,currencyservice-6d4fdcff78-z4475,669301,31560
2025-02-24T15:18:43.799451,4ec354cc-e2c3-44fd-90f8-07a527ef9d90,clever-tarek-w3,adservice-6c8df4bfc8-skkrc,2224996,94152
2025-02-24T15:18:43.799451,ff8200ea-b12f-4b81-9f62-7eb090cce312,clever-tarek-w2,shippingservice-7b68c9bfb6-gtlvf,1005377,8468
2025-02-24T15:18:43.799451,ff8200ea-b12f-4b81-9f62-7eb090cce312,clever-tarek-w2,redis-cart-79b899577-js2cn,13916277,3768
2025-02-24T15:18:43.799451,ff8200ea-b12f-4b81-9f62-7eb090cce312,clever-tarek-w2,productcatalogservice-b74bffb56-jgg2w,722832,9012
2025-02-24T15:18:43.799451,ff8200ea-b12f-4b81-9f62-7eb090cce312,clever-tarek-w2,emailservice-7b87d67844-tcp8x,3496978,42688
2025-02-24T15:18:43.799451,ff8200ea-b12f-4b81-9f62-7eb090cce312,clever-tarek-w2,checkoutservice-795c88f6-bdccc,352512,8872
2025-02-24T15:18:43.799451,1f4669df-f1ac-4f87-9eac-abf76b4e93cf,clever-tarek-w1,recommendationservice-7fd87c699b-lcrlq,3521445,44780
2025-02-24T15:18:43.799451,1f4669df-f1ac-4f87-9eac-abf76b4e93cf,clever-tarek-w1,cartservice-56664b8bd9-ncwgt,2182239,69692
2025-02-24T15:18:45.826411,4ec354cc-e2c3-44fd-90f8-07a527ef9d90,clever-tarek-w3,paymentservice-74d847cf7b-4klmt,568102,27984
2025-02-24T15:18:45.826411,4ec354cc-e2c3-44fd-90f8-07a527ef9d90,clever-tarek-w3,frontend-54456858b5-5c4wb,231400,13040
2025-02-24T15:18:45.826411,4ec354cc-e2c3-44fd-90f8-07a527ef9d90,clever-tarek-w3,currencyservice-6d4fdcff78-z4475,669301,31560
2025-02-24T15:18:45.826411,4ec354cc-e2c3-44fd-90f8-07a527ef9d90,clever-tarek-w3,adservice-6c8df4bfc8-skkrc,2224996,94152
2025-02-24T15:18:45.826411,ff8200ea-b12f-4b81-9f62-7eb090cce312,clever-tarek-w2,shippingservice-7b68c9bfb6-gtlvf,1005377,8468
2025-02-24T15:18:45.826411,ff8200ea-b12f-4b81-9f62-7eb090cce312,clever-tarek-w2,redis-cart-79b899577-js2cn,13916277,3768
2025-02-24T15:18:45.826411,ff8200ea-b12f-4b81-9f62-7eb090cce312,clever-tarek-w2,productcatalogservice-b74bffb56-jgg2w,722832,9012
2025-02-24T15:18:45.826411,ff8200ea-b12f-4b81-9f62-7eb090cce312,clever-tarek-w2,emailservice-7b87d67844-tcp8x,3496978,42688
2025-02-24T15:18:45.826411,ff8200ea-b12f-4b81-9f62-7eb090cce312,clever-tarek-w2,checkoutservice-795c88f6-bdccc,352512,8872
2025-02-24T15:18:45.826411,1f4669df-f1ac-4f87-9eac-abf76b4e93cf,clever-tarek-w1,recommendationservice-7fd87c699b-lcrlq,3521445,44780
2025-02-24T15:18:45.826411,1f4669df-f1ac-4f87-9eac-abf76b4e93cf,clever-tarek-w1,cartservice-56664b8bd9-ncwgt,2182239,69692
2025-02-24T15:18:47.849792,4ec354cc-e2c3-44fd-90f8-07a527ef9d90,clever-tarek-w3,paymentservice-74d847cf7b-4klmt,540018,28120
2025-02-24T15:18:47.849792,4ec354cc-e2c3-44fd-90f8-07a527ef9d90,clever-tarek-w3,frontend-54456858b5-5c4wb,11828066,17200
2025-02-24T15:18:47.849792,4ec354cc-e2c3-44fd-90f8-07a527ef9d90,clever-tarek-w3,currencyservice-6d4fdcff78-z4475,286975,31636
2025-02-24T15:18:47.849792,4ec354cc-e2c3-44fd-90f8-07a527ef9d90,clever-tarek-w3,adservice-6c8df4bfc8-skkrc,1996320,94152
2025-02-24T15:18:47.849792,ff8200ea-b12f-4b81-9f62-7eb090cce312,clever-tarek-w2,shippingservice-7b68c9bfb6-gtlvf,820363,8468
2025-02-24T15:18:47.849792,ff8200ea-b12f-4b81-9f62-7eb090cce312,clever-tarek-w2,redis-cart-79b899577-js2cn,13702858,3896
2025-02-24T15:18:47.849792,ff8200ea-b12f-4b81-9f62-7eb090cce312,clever-tarek-w2,productcatalogservice-b74bffb56-jgg2w,477392,9012
2025-02-24T15:18:47.849792,ff8200ea-b12f-4b81-9f62-7eb090cce312,clever-tarek-w2,emailservice-7b87d67844-tcp8x,2997033,42684
2025-02-24T15:18:47.849792,ff8200ea-b12f-4b81-9f62-7eb090cce312,clever-tarek-w2,checkoutservice-795c88f6-bdccc,552771,8872
2025-02-24T15:18:47.849792,1f4669df-f1ac-4f87-9eac-abf76b4e93cf,clever-tarek-w1,recommendationservice-7fd87c699b-lcrlq,3578676,44776
2025-02-24T15:18:47.849792,1f4669df-f1ac-4f87-9eac-abf76b4e93cf,clever-tarek-w1,cartservice-56664b8bd9-ncwgt,2309366,69692
2025-02-24T15:18:49.875866,4ec354cc-e2c3-44fd-90f8-07a527ef9d90,clever-tarek-w3,paymentservice-74d847cf7b-4klmt,540018,28120
2025-02-24T15:18:49.875866,4ec354cc-e2c3-44fd-90f8-07a527ef9d90,clever-tarek-w3,frontend-54456858b5-5c4wb,11828066,17200
2025-02-24T15:18:49.875866,4ec354cc-e2c3-44fd-90f8-07a527ef9d90,clever-tarek-w3,currencyservice-6d4fdcff78-z4475,286975,31636
2025-02-24T15:18:49.875866,4ec354cc-e2c3-44fd-90f8-07a527ef9d90,clever-tarek-w3,adservice-6c8df4bfc8-skkrc,1996320,94152
2025-02-24T15:18:49.875866,ff8200ea-b12f-4b81-9f62-7eb090cce312,clever-tarek-w2,shippingservice-7b68c9bfb6-gtlvf,820363,8468
2025-02-24T15:18:49.875866,ff8200ea-b12f-4b81-9f62-7eb090cce312,clever-tarek-w2,redis-cart-79b899577-js2cn,13702858,3896
2025-02-24T15:18:49.875866,ff8200ea-b12f-4b81-9f62-7eb090cce312,clever-tarek-w2,productcatalogservice-b74bffb56-jgg2w,477392,9012
2025-02-24T15:18:49.875866,ff8200ea-b12f-4b81-9f62-7eb090cce312,clever-tarek-w2,emailservice-7b87d67844-tcp8x,2997033,42684
2025-02-24T15:18:49.875866,ff8200ea-b12f-4b81-9f62-7eb090cce312,clever-tarek-w2,checkoutservice-795c88f6-bdccc,552771,8872
2025-02-24T15:18:49.875866,1f4669df-f1ac-4f87-9eac-abf76b4e93cf,clever-tarek-w1,recommendationservice-7fd87c699b-lcrlq,3578676,44776
2025-02-24T15:18:49.875866,1f4669df-f1ac-4f87-9eac-abf76b4e93cf,clever-tarek-w1,cartservice-56664b8bd9-ncwgt,2309366,69692
2025-02-24T15:18:51.898074,4ec354cc-e2c3-44fd-90f8-07a527ef9d90,clever-tarek-w3,paymentservice-74d847cf7b-4klmt,540018,28120
2025-02-24T15:18:51.898074,4ec354cc-e2c3-44fd-90f8-07a527ef9d90,clever-tarek-w3,frontend-54456858b5-5c4wb,11828066,17200
